id,vendeur,client,age_client,produit,categorie,quantite,prix_paye
1039,BADREDDINE Manel,XYTEGPQIU VLFTDYSQQ,43,P2,C3,331,6797944.194926838
1040,TOUATI Abderahmane,NKFWOI TOKSQ,35,P39,C40,236,8233141.169550082
1041,LAIHEM Said,DXSCLWCFW EUURRMXBN,57,P9,C10,296,1681074.5072479083
1042,AGOUILAL riadh,SUHLIPES GVQRXW,45,P34,C35,297,1074582.7091531444
1043,TAIR Karim,NCAVNJWRE HEBIITLU,41,P43,C44,182,1152696.7712622874
1044,AIT-AISSA Salim,BRDJMKQP CNBCXT,24,P34,C35,235,3384939.81608245
1045,MOHAMMEDI Asma,KFPLE OUBQWFHCJ,31,P26,C27,384,2042902.899365098
1046,ALLAM Lamine,AYILDV JSQJDIHS,32,P69,C70,360,993703.8332683953
1047,MOHAMMEDI Asma,JOTJW LCAEXKR,44,P57,C58,375,3464762.2410718086
1048,LAIHEM Said,UUPJWYDC TANKIGCS,24,P86,C87,89,2010759.69494329
1049,BOUDJELOUAH Issam,PBMNAVHIG USJLEX,51,P66,C67,9,717156.8792121953
1050,AGOUILAL riadh,FXLDH HNWCDSGXV,49,P30,C31,311,5707507.413726091
1051,LAIHEM Said,MLFXDUIG PSORGJRGP,53,P62,C63,298,8911278.034415137
1052,TOUATI Abderahmane,JCRNHC KFRRRHHP,30,P38,C39,292,8222348.294920544
1053,LAIHEM Said,FBFISN OJFMFA,53,P71,C72,357,3030990.4960473487
1054,AIT-AISSA Salim,CKTSWDUG EWNAKCFGH,56,P30,C31,314,1260663.2803922163
1055,BADREDDINE Manel,FSMQS LVGAPEIF,23,P11,C12,171,2086494.799910974
1056,BADREDDINE Manel,AEVFHH JIIGE,46,P48,C49,349,4538555.610964005
1057,BADREDDINE Manel,OPPJDJI VOAVSXFF,59,P76,C77,71,5357154.996695528
1058,AGOUILAL riadh,LOEWFTMUL NTAZXKNOR,60,P52,C53,63,6905049.13456577
1059,BOUDJELOUAH Issam,HYKNP DDRGGIXK,57,P75,C76,103,8837792.033548241
1060,AGOUILAL riadh,GXSTLEBGV OUIIBKU,25,P79,C80,176,2917450.132168905
1061,TAIR Karim,UORYACZ XVAQN,40,P30,C31,298,6621677.772009431
1062,LAIHEM Said,PEVNWAKD HEIAH,25,P71,C72,60,1435169.8895969752
1063,AIT-AISSA Salim,KWQFE PQSSRCS,32,P53,C54,168,973888.5220674385
1064,MOHAMMEDI Asma,DQAISJZFW RMDWU,56,P76,C77,63,6197102.520994991
1065,AIT-AISSA Salim,PUNXOZVMV AFUJD,56,P20,C21,379,4953582.873214156
1066,ALLAM Lamine,LVPOM AETKYBXGZ,45,P3,C4,98,5348985.655189091
1067,MOHAMMEDI Asma,RAVMKNYVC YYWMWL,27,P48,C49,50,5289619.900634158
1068,AIT-AISSA Salim,QGRQW SRQXKS,60,P47,C48,158,7222103.05092984
1069,BADREDDINE Manel,PMPLQ ERPWB,36,P21,C22,125,3024313.06970069
1070,TAIR Karim,CHYID ICLREBOQ,28,P56,C57,136,7109681.988125706
1071,MOHAMMEDI Asma,ISPHDG NQVCZKLD,42,P49,C50,69,5595241.396589573
1072,LAIHEM Said,JVIDNTORW MEYBAS,60,P17,C18,35,8006269.417253775
1073,BADREDDINE Manel,QEALSXLTU MMLJADDYQ,50,P35,C36,74,9183659.10623757
1074,BADREDDINE Manel,PWVQKODSC HIQZABLF,23,P69,C70,233,9181857.076752136
1075,LAIHEM Said,YPKYEBCZG EMVIG,59,P18,C19,42,2228802.438269188
1076,LAIHEM Said,PZXVLANT CGQWCTTOQ,61,P22,C23,130,7433619.39278251
1077,ALLAM Lamine,CCNFUNDAC PPCXFX,38,P6,C7,305,9913813.593448037
1078,ALLAM Lamine,IMGQPWAC ELASM,37,P86,C87,232,5580311.453816527
1079,BADREDDINE Manel,TBSNDXF WALKDAVMT,58,P15,C16,231,8643707.043338353
1080,MOHAMMEDI Asma,LFQBGKH UDPSPZUH,62,P50,C51,137,9433929.808784036
1081,AIT-AISSA Salim,YAIOJZM ALRUQ,29,P22,C23,351,9161380.938309783
1082,MOHAMMEDI Asma,QRACH YFBLDA,27,P89,C90,275,7060612.372298055
1083,BADREDDINE Manel,SAVLKK JARIZ,45,P59,C60,216,6038188.590098393
1084,TAIR Karim,CPQNEPL BOXVSGXB,43,P29,C30,162,9173284.94581885
1085,AGOUILAL riadh,CFFAKYVM KQKDSMQ,21,P67,C68,309,5676245.905262125
1086,LAIHEM Said,REMGANCE GZTIAISIX,46,P54,C55,190,905909.6591882941
1087,MOHAMMEDI Asma,JHSRF PHBRH,58,P79,C80,278,4319887.224438832
1088,MOHAMMEDI Asma,TAKHDSMAN AGPCHYCJ,47,P46,C47,392,3467771.0480941217
1089,BADREDDINE Manel,RCULH ZFWUCLHAB,47,P56,C57,212,7298275.147675915
1090,BOUDJELOUAH Issam,ADQMEJIKV IOXEN,57,P86,C87,61,2018228.5031502298
1091,TOUATI Abderahmane,EHCOGBYAR YWQBB,55,P49,C50,341,85005.32684218958
1092,MOHAMMEDI Asma,DPOOWDYJ IOFJNM,33,P56,C57,66,1885122.0335714503
1093,BOUDJELOUAH Issam,AQYTKPUZ TUNLJODV,48,P49,C50,215,5366784.651322903
1094,BOUDJELOUAH Issam,RGXTABOBF XYWEWTF,24,P67,C68,269,2204448.3884887365
1095,ALLAM Lamine,NPXRUNTZ JLSYL,45,P9,C10,359,1883186.576809691
1096,AIT-AISSA Salim,HODXV GVZKKUAN,30,P44,C45,248,8142680.014950802
1097,BOUDJELOUAH Issam,BERNTOGSD KYHFC,56,P53,C54,241,4503721.3541404605
1098,MOHAMMEDI Asma,PVAOHW UKRQW,43,P72,C73,276,3273123.254039027
1099,MOHAMMEDI Asma,CYHDBABU FBWMI,20,P29,C30,111,2838755.194402347
1100,LAIHEM Said,KJATUFMPJ IDQPOCHHN,45,P54,C55,82,3830024.1848952714
1101,LAIHEM Said,KTXCU NWIIBJO,40,P66,C67,203,5278585.115501044
1102,AIT-AISSA Salim,XZTBWR IYLAFYU,25,P89,C90,85,1333156.2374206125
1103,BOUDJELOUAH Issam,PHWIUMDA YIGCLLJ,39,P36,C37,322,9604131.948796213
1104,AGOUILAL riadh,LVYHZ VAHGRYF,29,P15,C16,91,2129857.7096861354
1105,MOHAMMEDI Asma,HIVNGV QDGQSUH,43,P0,C1,44,4738518.339963879
1106,AGOUILAL riadh,CJIBT AKANAVKFE,29,P27,C28,266,6243463.910707196
1107,BADREDDINE Manel,WXEWYUMIH OPQST,20,P6,C7,15,3788190.178092288
1108,BADREDDINE Manel,VSHSCIEQV TETGS,58,P33,C34,223,6747885.168150266
1109,TAIR Karim,OZNHRJIT MVEBNMFLC,43,P23,C24,256,4343583.959278295
1110,BADREDDINE Manel,XARDMQO DWYVNLSMT,30,P22,C23,230,2954902.202469074
1111,ALLAM Lamine,GIPOO CJYHYMLPN,22,P63,C64,74,4298553.551293662
1112,LAIHEM Said,KGIRS ZFEXPD,40,P56,C57,90,4824947.774518259
1113,TAIR Karim,KAUJHHFHW GNQOT,31,P20,C21,306,145659.0192097973
1114,BADREDDINE Manel,QULKFVG OKQIP,50,P82,C83,127,4015325.6725346544
1115,MOHAMMEDI Asma,KRJQED IJHUGJ,61,P10,C11,297,3494923.005339068
1116,BOUDJELOUAH Issam,AYFFCR TYBQKXNX,37,P48,C49,112,9653429.573859898
1117,TAIR Karim,JDZVJQAR IYMCSKO,46,P62,C63,395,3997237.6492100293
1118,ALLAM Lamine,OWVLWUWK RYURGAXF,40,P49,C50,34,1130616.6357232463
1119,ALLAM Lamine,LOEUN MPIQU,47,P2,C3,396,1714394.2551338964
1120,AGOUILAL riadh,WFQUZD TRGHT,46,P54,C55,279,3610428.331256902
1121,BADREDDINE Manel,AHNYA PFNFVTT,34,P38,C39,121,3656962.482421676
1122,TOUATI Abderahmane,GLIGRMYV WKWJL,65,P89,C90,270,2419746.919476277
1123,ALLAM Lamine,GTJPN PYCMW,51,P48,C49,224,3399366.095869581
1124,BADREDDINE Manel,ZFTLBDK HDPDAXJZ,37,P14,C15,212,5152961.288294572
1125,TOUATI Abderahmane,KIJUUBO WJRSRSO,50,P18,C19,219,6675933.0866462905
1126,AGOUILAL riadh,SZWWWSJID BDQARVU,57,P29,C30,356,771000.5224505997
1127,LAIHEM Said,QPBFFTRR RJMBRFORG,22,P76,C77,313,1269691.340613763
1128,LAIHEM Said,RAJGNJBG RTOBRZXLE,39,P6,C7,259,6499577.325613854
1129,AIT-AISSA Salim,BIDLZDSW XJCUICD,46,P44,C45,373,4881694.851105517
1130,AIT-AISSA Salim,YQXHCIP JYAFF,36,P21,C22,25,1634958.7973735123
1131,ALLAM Lamine,XYWICU LSPLDKTOW,64,P30,C31,344,9833465.092238376
1132,BOUDJELOUAH Issam,TQFVXMIJJ DSZMW,23,P81,C82,327,2592523.242295689
1133,AIT-AISSA Salim,SRZEGPVBL LLERM,60,P12,C13,328,8617089.549557302
1134,BADREDDINE Manel,LPMAW IDUVST,20,P90,C91,157,844543.4861808813
1135,BADREDDINE Manel,DJZVERQO LONEA,37,P67,C68,230,5323634.941081671
1136,AGOUILAL riadh,TPPGJ BGXHLFOJO,36,P68,C69,61,10507.447968435834
1137,TOUATI Abderahmane,TEONXZ QZRJBZSHF,20,P76,C77,237,421342.9363161621
1138,LAIHEM Said,UBVJQLCAB BQCYMN,41,P11,C12,252,3322596.3020715406
1139,BOUDJELOUAH Issam,IOBBV BZUWT,55,P67,C68,64,4904576.424917307
1140,BOUDJELOUAH Issam,VGTZIPEII EYNVHJMPV,35,P26,C27,73,336584.7866139536
1141,AGOUILAL riadh,MRUVGIO QJQZDK,53,P73,C74,182,6068059.9374159565
1142,BADREDDINE Manel,XLWPS SPXVWPNF,64,P81,C82,380,3376418.5923791737
1143,BADREDDINE Manel,FOQDVAFY FDWOPDI,34,P22,C23,339,5556367.030654145
1144,AGOUILAL riadh,GNNMHHT MZMOONXPD,57,P1,C2,298,5007384.60977661
1145,AGOUILAL riadh,WRWIEOWM DZTQVGKJP,23,P56,C57,360,1083021.1811561617
1146,ALLAM Lamine,DSBMZASAQ PZYPYN,41,P13,C14,107,2935039.7915749364
1147,AIT-AISSA Salim,KJRJCLR TVLLDS,35,P17,C18,325,2414904.8225374115
1148,BOUDJELOUAH Issam,KPUQZYK NVHTRZ,34,P58,C59,160,4896686.322494475
1149,TOUATI Abderahmane,WCHBZAMCD ZLTMWLKM,48,P70,C71,51,7332817.825879411
1150,BOUDJELOUAH Issam,XCNCVGHJP BRJQRDBB,62,P41,C42,101,9025820.142605916
1151,MOHAMMEDI Asma,ORECRDRD UHUUQKY,33,P66,C67,295,8614647.189118864
1152,LAIHEM Said,TSNZY KYPMTYOA,31,P25,C26,316,5582849.152980264
1153,TAIR Karim,SSCJWYFT SFJVWE,56,P10,C11,360,2359273.2086491953
1154,TOUATI Abderahmane,QDQLHG ELURITXUD,56,P74,C75,347,8037991.4098738935
1155,BADREDDINE Manel,FASDYQUL EXSAR,23,P56,C57,180,6050889.1800628705
1156,TOUATI Abderahmane,IMBYRZMO JPAOTGW,46,P20,C21,362,9794852.188661369
1157,AIT-AISSA Salim,EMRLMTYZ KJYPV,47,P36,C37,399,1149919.1799972407
1158,LAIHEM Said,VPNVIRR OCURXPD,51,P8,C9,72,2266514.4350224263
1159,TAIR Karim,KFJVXYUHP GYYOTVP,64,P29,C30,213,409671.0023011865
1160,LAIHEM Said,TRHTUPL PZPPBLKTI,24,P69,C70,383,8645526.20192942
1161,AGOUILAL riadh,PXXSBLNT HYQTTDLRH,39,P13,C14,77,9683999.461769175
1162,ALLAM Lamine,AEOLS SFGUMKZ,44,P47,C48,64,5080386.968416302
1163,MOHAMMEDI Asma,FEJHTBTWK GLXMCU,45,P22,C23,63,5352362.508300108
1164,BOUDJELOUAH Issam,IMLRVMD VVHVP,60,P60,C61,395,3096217.4168656347
1165,BADREDDINE Manel,CAKBO ZLLFRVP,57,P62,C63,314,3122926.7369827405
1166,BADREDDINE Manel,QMFXBMPYS AIVBCBRB,45,P84,C85,374,3995566.6303954218
1167,AGOUILAL riadh,BZDDXQ CWNMTEK,35,P73,C74,341,9517656.277178619
1168,BOUDJELOUAH Issam,YDAVMOO PHSPU,33,P58,C59,113,9689145.829079399
1169,TOUATI Abderahmane,WOVHUEX VIIXOIE,25,P66,C67,344,199470.6030243649
1170,MOHAMMEDI Asma,GBLHFUAH PXUXFYXJV,27,P11,C12,23,5350133.674270832
1171,TAIR Karim,SRRQGL DTOPK,54,P8,C9,257,5283801.155442797
1172,AIT-AISSA Salim,HHLDWBTVX YCBNHVG,34,P33,C34,245,7653205.725074487
1173,MOHAMMEDI Asma,JKPYSW TMQROWN,38,P47,C48,313,7592509.4914894
1174,BOUDJELOUAH Issam,PMOUE XOENRB,56,P19,C20,63,8620075.147491852
1175,BADREDDINE Manel,HSNHCCQJK VRUZDGATR,41,P42,C43,5,7572671.124971334
1176,TAIR Karim,WIKHUI IFEHHRW,30,P55,C56,116,8897977.504810408
1177,BADREDDINE Manel,QSCCNUS QVUISPN,57,P7,C8,314,4447765.293607566
1178,LAIHEM Said,RUQXEZHFP QVXUWB,26,P2,C3,329,8038252.148070287
1179,TOUATI Abderahmane,TDKIT LYSHXIJY,20,P24,C25,52,8076115.609953739
1180,BADREDDINE Manel,SACNL OVBPQPYKK,58,P73,C74,244,4595738.596633183
1181,ALLAM Lamine,VCLIPECC PMRJTK,37,P49,C50,278,4829508.238141643
1182,BOUDJELOUAH Issam,UZUVCMI EVEAU,49,P57,C58,147,6912477.622645574
1183,LAIHEM Said,RJRXXS WLKHKNV,21,P50,C51,327,634325.2752248702
1184,TOUATI Abderahmane,QCWIJMM GACAVMK,63,P3,C4,358,4099528.399950813
1185,BADREDDINE Manel,ELCKH LGPQVJ,22,P35,C36,113,3912374.8665291243
1186,TAIR Karim,OLLCYMS BWDMY,34,P10,C11,376,5548338.139318576
1187,TAIR Karim,CECXQIMFV BXMRL,64,P79,C80,115,3672507.2358836257
1188,BADREDDINE Manel,YNPRZXX EBWKHUK,61,P21,C22,81,6515429.101336988
1189,ALLAM Lamine,YEAXGAPI EPGTJLPTS,22,P72,C73,198,3846941.213438181
1190,TAIR Karim,HTSSDJZR QVCVULMDD,45,P81,C82,369,9631622.007325806
1191,MOHAMMEDI Asma,JDZRIGA RTEMUXNAQ,60,P76,C77,273,4555283.358111952
1192,MOHAMMEDI Asma,QFVIH QVNIQDU,55,P6,C7,150,461128.3450023529
1193,AGOUILAL riadh,XMANLPRO EBSBNGYT,24,P5,C6,186,3042248.3484696643
1194,BOUDJELOUAH Issam,LUIMG SIQRMQR,20,P50,C51,92,1328217.7228111739
1195,TAIR Karim,BNKHKHVJ TVKRSY,44,P26,C27,226,7724779.896291237
1196,TOUATI Abderahmane,QDAUSMII DQAKHM,57,P65,C66,384,7305091.768109047
1197,ALLAM Lamine,GUUPYJZOG VQIAYHAH,61,P68,C69,23,2847424.0163266854
1198,AGOUILAL riadh,ANMMJ YNHAKKL,46,P82,C83,174,1829918.7106406419
1199,TOUATI Abderahmane,OGIIDPIN EOBUYC,24,P46,C47,354,4988382.588588133
1200,AGOUILAL riadh,SOCKZC GJKBZZYR,52,P76,C77,70,9839998.643371494
1201,TOUATI Abderahmane,YGCJNFRX OZADSU,59,P40,C41,143,1855998.0300316701
1202,LAIHEM Said,MQYWF YXECMF,34,P54,C55,266,8737491.358737199
1203,AIT-AISSA Salim,RTSLBJCWD XMJUBBA,31,P7,C8,359,2240511.4768292676
1204,TAIR Karim,MPWKX KRAEJUVW,41,P0,C1,34,8557838.561793733
1205,BADREDDINE Manel,CWTPQTV UIZWM,47,P21,C22,286,2337729.407764842
1206,BADREDDINE Manel,YNDZKBLR ZBEZDRZ,46,P34,C35,318,1177083.3522452817
1207,TOUATI Abderahmane,QCEAQPHL UGMOAFOT,55,P8,C9,236,5746781.777320429
1208,MOHAMMEDI Asma,KGUVZUH RAWJOF,39,P76,C77,260,7828128.473585384
1209,ALLAM Lamine,GMJYGAPO QOJUMWKEY,24,P82,C83,6,5481861.400565712
1210,BADREDDINE Manel,IUNWZGQ DQHISTETU,59,P37,C38,45,639453.2908494507
1211,MOHAMMEDI Asma,FFKOLWNB NCWDJ,61,P46,C47,133,5663104.226591658
1212,BOUDJELOUAH Issam,SYORD YSFSXBEMI,57,P87,C88,195,5108190.525147735
1213,LAIHEM Said,MEZVIZI QDDKCWLDA,45,P64,C65,69,1476942.7841343083
1214,MOHAMMEDI Asma,PYDMUCIJ EYNOKK,27,P26,C27,383,2638015.418755688
1215,MOHAMMEDI Asma,JYARN RSWDFIVZ,50,P18,C19,300,5343384.666522961
1216,AIT-AISSA Salim,OLTDYOQ IDLKALWAV,45,P66,C67,203,5643707.101740125
1217,LAIHEM Said,EIYKTPQX KOOEB,32,P84,C85,60,7356595.308722255
1218,AGOUILAL riadh,BTWPBZLU SMLYGGNLC,37,P45,C46,165,2077203.769656049
1219,MOHAMMEDI Asma,DCKUTE KIVFO,55,P83,C84,364,9131926.546008825
1220,LAIHEM Said,GNRSVRCOT XHHDNLH,43,P2,C3,85,5735372.051741474
1221,BOUDJELOUAH Issam,RJRHLIGV IPHWDUVDK,23,P82,C83,390,7758914.352748859
1222,ALLAM Lamine,WINAEDKYD EYPDLLLID,46,P24,C25,241,9250025.285953438
1223,BOUDJELOUAH Issam,ZGKKMDM RLJKLMMX,65,P10,C11,324,5182601.459119295
1224,BOUDJELOUAH Issam,PSAJSFVXU SOHJRKTCN,43,P86,C87,131,9872136.255369704
1225,TOUATI Abderahmane,IQEDKJB MHEDBEKN,58,P11,C12,269,8932079.418381102
1226,LAIHEM Said,QZCQIETX ZVHPHHSR,60,P83,C84,211,2841822.603561917
1227,LAIHEM Said,QUQYVE DNKYOII,27,P71,C72,205,2064588.9966184734
1228,ALLAM Lamine,KBKIJQIVU MYIYG,33,P79,C80,161,9389522.902078591
1229,MOHAMMEDI Asma,YVELQSPS XNVVPSU,42,P0,C1,82,2531866.668412004
1230,LAIHEM Said,WZSBG DOUTF,58,P51,C52,382,610288.3189284627
1231,MOHAMMEDI Asma,YEJKFVV FEWZVJY,26,P27,C28,379,2086715.5992949633
1232,MOHAMMEDI Asma,SBNHQ WSXHT,27,P75,C76,117,1958392.4309925444
1233,MOHAMMEDI Asma,ELJTRER HUFFOM,36,P13,C14,203,9220453.837889051
1234,AIT-AISSA Salim,MYUGGPRI RSKOI,54,P36,C37,248,7114758.260855736
1235,AIT-AISSA Salim,LZHARFS EQUCSI,39,P75,C76,74,7211631.0382938655
1236,AGOUILAL riadh,EXZDAIQSI BRDLPPFE,26,P4,C5,33,3922114.8215862713
1237,TOUATI Abderahmane,NTITON WNSIXBQP,32,P52,C53,45,825557.2512865096
1238,TOUATI Abderahmane,LMOORJWJV YVGCDG,29,P11,C12,336,8722982.176190604
1239,ALLAM Lamine,QJVGYDJQ NATEAH,46,P90,C91,49,4628816.084277412
1240,AGOUILAL riadh,FPKFOKOSL ZSMMXFKYP,29,P6,C7,229,1378973.6385490256
1241,TOUATI Abderahmane,VVLNJIS RHZCQHIM,62,P9,C10,355,1962879.2670838253
1242,ALLAM Lamine,SOTVDASS RHHRHBXW,44,P38,C39,320,7622320.542146179
1243,MOHAMMEDI Asma,BKUKB HLYPJH,21,P75,C76,18,6052057.217566334
1244,BADREDDINE Manel,XAEIPKPMD EREVQ,31,P2,C3,363,1447065.6772484654
1245,BOUDJELOUAH Issam,MMCVIB XKCCNARMQ,60,P7,C8,85,7873526.875258435
1246,AIT-AISSA Salim,WGNXSES AXWDTTG,63,P41,C42,4,7893700.6069227215
1247,MOHAMMEDI Asma,ARWJPWTA WAVDQA,25,P67,C68,310,9944010.391568583
1248,BADREDDINE Manel,PMYBY BDMQB,21,P50,C51,117,1310652.4522981308
1249,LAIHEM Said,JGNZEOW DBJTJXRD,55,P28,C29,301,1590271.337543345
1250,AIT-AISSA Salim,AYXCZDM AHKLAUD,36,P79,C80,219,6096408.401515895
1251,BADREDDINE Manel,XKHGTEKU JQVLMVUCD,55,P47,C48,242,4148159.7378425607
1252,ALLAM Lamine,NZOWJRV LGXKVXPYS,62,P87,C88,166,8659437.793697275
1253,AIT-AISSA Salim,YSPLMG RWPIXNNF,55,P29,C30,60,8432725.55231213
1254,ALLAM Lamine,LSAMTAO SBZXLH,25,P64,C65,182,6243702.828529558
1255,BOUDJELOUAH Issam,LTXJQ UUFJIOM,37,P69,C70,133,9164173.200579453
1256,AIT-AISSA Salim,ZPAIQ WCNYIWV,47,P18,C19,360,307716.0809923925
1257,BOUDJELOUAH Issam,EUWSHQ YIKZS,26,P8,C9,69,694622.7380943533
1258,AIT-AISSA Salim,LJXUIBVS HOEYP,61,P76,C77,106,5550852.401097932
1259,BOUDJELOUAH Issam,KUINNHE YYPUBON,44,P52,C53,48,7220518.635440005
1260,TOUATI Abderahmane,KGPGNLHDC IVBXEDAXL,51,P82,C83,184,6340297.588361691
1261,LAIHEM Said,SBTMA QETTWSY,22,P50,C51,383,8343256.964034557
1262,AGOUILAL riadh,PFHDBRJ HUVPOBJDB,63,P71,C72,96,9178674.721750354
1263,AIT-AISSA Salim,VBECH SCMLM,34,P6,C7,31,5397742.8036201615
1264,AGOUILAL riadh,LZPMAHQ WCSEPFFOU,25,P57,C58,120,5219864.506137565
1265,AGOUILAL riadh,MKHKMBBGT ZMYZV,40,P74,C75,2,6880992.759844495
1266,LAIHEM Said,RLQSW DXKMODX,56,P37,C38,320,1761682.0097295123
1267,ALLAM Lamine,GPHYJAI APHTFUU,32,P47,C48,109,280398.3852700028
1268,TAIR Karim,QKMVIXK YYMKUMYP,43,P64,C65,376,3356914.949016779
1269,BOUDJELOUAH Issam,XQIYDEA MWISLRFB,65,P20,C21,244,2523672.546112386
1270,LAIHEM Said,LNNIHFR ZNUWDRO,34,P17,C18,274,6339432.066013392
1271,ALLAM Lamine,KQOZBJAK ZDWOL,32,P70,C71,20,8507535.200200012
1272,ALLAM Lamine,RBJIYK TMYKW,59,P60,C61,320,2613318.4853012264
1273,LAIHEM Said,ASNGQB ATGURF,46,P46,C47,335,1184019.3155156267
1274,MOHAMMEDI Asma,WZVDAPYI DBDJFTOPP,40,P7,C8,387,5719697.300609229
1275,BOUDJELOUAH Issam,OVIZQVLYR QDPJYD,36,P52,C53,126,5928965.233505478
1276,LAIHEM Said,UQODWHE KRTBNWN,59,P69,C70,77,6935164.510854376
1277,TOUATI Abderahmane,UCGAKWF HAPMDNSA,41,P80,C81,130,2425977.6889227405
1278,ALLAM Lamine,LLIDT BNPLOQYXA,22,P16,C17,322,4465494.055030205
1279,TOUATI Abderahmane,JFPLX UNCRGV,40,P15,C16,111,8344164.809472781
1280,TOUATI Abderahmane,KUWBTKOZP QGHXGTR,27,P7,C8,232,12748.27304481845
1281,TAIR Karim,OWGTUMOF QWCCALLPJ,57,P46,C47,220,8261820.983705626
1282,LAIHEM Said,FVWSFI UZJWJD,37,P28,C29,182,340947.92867459427
1283,ALLAM Lamine,VQSPUWRKN JIGZTBXQM,64,P86,C87,106,7923981.865127477
1284,AIT-AISSA Salim,DMBUYSCVZ OJOGQJDA,44,P39,C40,250,7521672.648866671
1285,BADREDDINE Manel,HSOHZJNF TIMLC,23,P21,C22,35,6886052.892276644
1286,AIT-AISSA Salim,MFLBZ PNRUASTFI,28,P30,C31,313,1299458.1509097517
1287,BOUDJELOUAH Issam,JIKRZ YRNOVP,36,P30,C31,167,3682738.9353472
1288,AGOUILAL riadh,DJGRDRHZ UKRPN,24,P79,C80,46,897870.4791293356
1289,LAIHEM Said,SZNDPVL JUFPSUZJX,20,P33,C34,207,1328331.96110217
1290,ALLAM Lamine,VQHDVET CQGWYJZ,24,P20,C21,315,5717784.146282849
1291,LAIHEM Said,AJAWVNG AKGCGG,64,P36,C37,135,2608109.0797859738
1292,BADREDDINE Manel,DLICIG NWLLVXYY,32,P62,C63,326,7352998.648496249
1293,MOHAMMEDI Asma,HCVSI IHEXF,21,P56,C57,346,2459591.3251188174
1294,AGOUILAL riadh,TIKFJG GRYEFRVE,31,P66,C67,193,2427335.2979757604
1295,BADREDDINE Manel,ZSGMRMEZ XSIQAV,48,P63,C64,102,2636749.677441509
1296,BADREDDINE Manel,BLLQASNUU SSDZFN,58,P19,C20,154,7135173.7581948405
1297,ALLAM Lamine,DDPPHWZQH VLADYM,38,P87,C88,350,7115835.006937946
1298,AGOUILAL riadh,BDANFPAOJ MFVFZAUT,25,P63,C64,370,3431394.4511744916
1299,BADREDDINE Manel,YFZTEBJEM WXTIEFVN,56,P6,C7,250,9676976.05451928
1300,ALLAM Lamine,MRVATQEVX YJNMVHVQP,41,P4,C5,89,4304764.074082617
1301,AGOUILAL riadh,HDNQW JHAYQQEYE,36,P1,C2,184,4391942.799702607
1302,BADREDDINE Manel,RNUIQUMK HREZO,60,P35,C36,271,96786.53483715373
1303,MOHAMMEDI Asma,EBQOCVX SMAJOHDF,23,P45,C46,191,5996858.296649969
1304,ALLAM Lamine,VPTSIDFK ZBMNMQ,48,P25,C26,36,4629880.700529831
1305,ALLAM Lamine,JJHAR IOVCPPAF,47,P6,C7,271,3615549.3650735333
1306,AIT-AISSA Salim,YJFOS IVASHMQCV,20,P87,C88,158,6223862.61423391
1307,MOHAMMEDI Asma,QTSPSHM CGNXT,58,P17,C18,141,5910330.335243791
1308,TOUATI Abderahmane,FUCJRCRN WMHFBY,31,P62,C63,205,439737.01009989565
1309,BADREDDINE Manel,FXREI ZCEMXD,37,P34,C35,167,171478.24534528764
1310,AIT-AISSA Salim,TLZQFEYR TJBPEK,36,P80,C81,21,6770631.665716918
1311,LAIHEM Said,COSCESMN CFCCXWELG,37,P73,C74,89,9779937.169372084
1312,LAIHEM Said,JZAZNPQS TGAJU,42,P6,C7,80,2824473.7768299715
1313,LAIHEM Said,JVBOFUH MKKXU,50,P13,C14,188,8379766.57832821
1314,BADREDDINE Manel,WWEXDGPKJ SNKNCYUCJ,22,P1,C2,121,2306302.4410230312
1315,BADREDDINE Manel,EDTPUKQ NSPTYVW,32,P81,C82,329,5653881.511938588
1316,AGOUILAL riadh,ODDTSDD DISQZHJM,47,P74,C75,113,3617921.583994474
1317,MOHAMMEDI Asma,ZQWMHZNAQ PESKVWM,63,P29,C30,139,4565377.707355928
1318,ALLAM Lamine,ISGIMGW MSKHCXSBB,48,P46,C47,207,7271235.806972743
1319,TAIR Karim,RPPJLPU DSXXSS,40,P5,C6,278,972075.8825655472
1320,AIT-AISSA Salim,JFJSGXLJ AFGSNPJJW,40,P88,C89,339,7288458.026217665
1321,TAIR Karim,DYJYLGQG BXSRCXW,64,P12,C13,166,8403815.249641793
1322,AIT-AISSA Salim,HHRYLFH KOIVFDR,37,P41,C42,306,6922259.47118112
1323,BOUDJELOUAH Issam,PQWLSQLKZ MNPLSA,38,P36,C37,229,288935.257753986
1324,ALLAM Lamine,VJNWAF ZJBAR,53,P39,C40,107,8627717.818362402
1325,BADREDDINE Manel,ORAPSKUO ZANTMOE,57,P67,C68,384,790896.9740348866
1326,MOHAMMEDI Asma,FLQTRRHY QICDZPYLM,33,P38,C39,25,5172755.374594131
1327,TAIR Karim,EPKTSRGY YVFEU,31,P42,C43,321,8960632.50148358
1328,TOUATI Abderahmane,KFXTZ XCQCENA,28,P72,C73,203,2927872.5948239043
1329,TAIR Karim,LGVGBVM JREVG,25,P8,C9,12,20097.03947469889
1330,AIT-AISSA Salim,DNODSFK BKOYXC,43,P86,C87,299,5356592.641631106
1331,AGOUILAL riadh,PWYHCRPU VVJAM,35,P67,C68,214,138770.4124487522
1332,AGOUILAL riadh,LYMAYEAK RUYLM,49,P56,C57,250,8471269.317777231
